 LEA,Name,Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total 
 04970000,Pioneer Valley Chinese Immersion Charter School,Commonwealth ,, 44,44,44,44,46,44,67,57,49,56,13,19,12,539 
 04790000,Pioneer Valley Performing Arts Charter Public School,Commonwealth ,,,,,,,,, 60,70,68,73,68,61,400 
 04870000,Prospect Hill Academy Charter School,Commonwealth ,, 111,86,86,88,93,98,99,95,94,101,84,84,71 ,"1,190"
 04830000,Rising Tide Charter Public School,Commonwealth ,,,,,,, 90,91,90,90,96,90,80,73,700 
 04820000,River Valley Charter School,Commonwealth ,, 32,27,32,34,31,38,33,30,31 ,,,,, 288 
 04840000,Roxbury Preparatory Charter School,Commonwealth ,,,,,,, 252,252,252,252,255,207,95 ,,"1,565"
 04410000,Sabis International Charter School,Commonwealth ,, 100,106,112,147,128,129,127,128,128,128,116,119,106 ,"1,574"
 04850000,Salem Academy Charter School,Commonwealth ,,,,,,,, 72,72,72,76,83,59,46,480 
 04860000,Seven Hills Charter School,Commonwealth ,, 63,72,89,80,80,79,77,62,64 ,,,,, 666 
 04740000,Sizer School: A North Central Charter Essential School,Commonwealth ,,,,,,,,, 75,75,75,71,65,31,392 
 04880000,South Shore Charter Public School,Commonwealth ,, 73,73,55,63,63,76,76,76,76,95,90,71,55,942 
 35100000,Springfield Preparatory Charter School,Commonwealth ,, 54,54,54,54 ,,,,,,,,,, 216 
 04890000,Sturgis Charter Public School,Commonwealth ,,,,,,,,,,, 190,230,214,190,824 
 04980000,Veritas Preparatory Charter School,Commonwealth ,,,,,,, 81,81,81,81 ,,,,, 324 
 04270000,Barnstable Community Horace Mann Charter Public School,Horace Mann ,, 84,84,79,73 ,,,,,,,,,, 320 
 35110000,Bentley Academy Charter School,Horace Mann ,, 60,60,60,60,43,42 ,,,,,,,, 325 
 04240000,Boston Day and Evening Academy Charter School,Horace Mann ,,,,,,,,,,, 38,36,104,227,405 
 04110000,Boston Green Academy Horace Mann Charter School,Horace Mann ,,,,,,,, 80,71,65,94,80,66,77,533 
 04070000,Dudley Street Neighborhood Charter School,Horace Mann,44,44,44,44,44,44,44 ,,,,,,,, 308 
 04520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),Horace Mann ,,,,,,,,,,, 105,97,91,77,370 
 04770000,Silver Hill Horace Mann Charter School,Horace Mann ,, 90,92,96,100,100,102 ,,,,,,,, 580 
 04800000,UP Academy Charter School of Boston,Horace Mann ,,,,,,,, 180,165,168 ,,,,, 513 
 35050000,UP Academy Charter School of Dorchester,Horace Mann,60,68,76,74,74,96,92,90,72,65 ,,,,, 767 
